#SPIKE measurement file - Tool Measurement /  Analyser 2016 (SPIKE@pro-micron GmbH)
#date: 14.06.2024 operator: 
#process: 
#tool: 
#material: 
#tool gage: 30.6
#d = 8          z = 
#ap =           ae = 
#vc =           n = 
#f =           vf = 
#X = 
#cooling: 
#unit type: 
#note: 8mm good with minimum rpm
#BTKaBlue Version: 
#READ Version: READ 1.2 SW-Version: 0x0002
SPIKE Version: SPIKE 1.2
#SW-Version: 0x0006
#SN-Nr.: 0xA408
#cal tension: 2,842223
#cal torsion: 0,024086
#cal bending moment X: 0,023242
#cal bending moment Y: 0,023070
#lever arm: 48.2
#SPIKE position: 
#autoBM: 
#triggerchannel:  triggervalue: 
###
Tension;Torsion;Bending moment X;Bending moment Y;Time;Temperature
[N];[Nm];[Nm];[Nm];[s];[°C]
-51.160011;0.144516;-0.325388;0.692100;0.030000;26.125000
11.368892;-0.337204;-0.929680;-0.415260;0.030400;26.125000
-28.422230;0.144516;-0.371872;0.553680;0.030800;26.125000
22.737783;-0.578064;0.092968;0.876660;0.031200;26.125000
0.000000;0.722580;0.325388;0.276840;0.031600;26.125000
-28.422230;0.240860;0.092968;0.461400;0.032000;26.125000
-28.422230;0.385376;0.836712;0.692100;0.032400;26.125000
-39.791122;0.433548;-0.557808;1.661040;0.032800;26.125000
-5.684446;0.048172;0.371872;-0.369120;0.033200;26.125000
39.791122;-0.337204;-0.743744;1.107360;0.033600;26.125000
62.528904;0.529892;-0.464840;0.784380;0.034000;26.125000
73.897797;0.674408;-0.464840;1.522620;0.034400;26.125000
5.684446;-0.096344;0.278904;0.461400;0.034800;26.125000
45.475567;0.578064;0.418356;0.507540;0.035200;26.125000
5.684446;0.096344;-0.557808;0.369120;0.035600;26.125000
-28.422230;-1.493332;0.511324;0.369120;0.036000;26.125000
-102.320023;-0.722580;0.139452;1.614900;0.036400;26.125000
-73.897797;0.048172;0.139452;1.384200;0.036800;26.125000
22.737783;0.481720;0.278904;0.922800;0.037200;26.125000
-28.422230;-0.915268;-0.325388;1.061220;0.037600;26.125000
85.266685;-0.578064;0.836712;0.000000;0.038000;26.125000
-125.057808;0.481720;0.092968;0.230700;0.038400;26.125000
22.737783;-0.192688;-0.418356;-1.291920;0.038800;26.125000
-90.951134;-0.963440;-0.418356;0.599820;0.039200;26.125000
-90.951134;-0.963440;-0.418356;0.599820;0.039600;26.125000
-90.951134;-0.963440;-0.418356;0.599820;0.040000;26.125000
-90.951134;-0.963440;-0.418356;0.599820;0.040400;26.125000
-90.951134;-0.963440;-0.418356;0.599820;0.040800;26.125000
-90.951134;-0.963440;-0.418356;0.599820;0.041200;26.125000
-90.951134;-0.963440;-0.418356;0.599820;0.041600;26.125000
-90.951134;-0.963440;-0.418356;0.599820;0.042000;26.125000
-17.053337;-0.337204;-0.139452;0.322980;0.042400;26.125000
79.582245;1.107956;0.185936;1.291920;0.042800;26.125000
-113.688919;-0.289032;0.139452;0.876660;0.043200;26.125000
68.213348;-1.107956;-0.046484;1.430340;0.043600;26.125000
0.000000;-0.481720;-0.278904;0.645960;0.044000;26.125000
45.475567;0.529892;0.232420;-0.599820;0.044400;26.125000
51.160011;0.289032;0.185936;0.138420;0.044800;26.125000
22.737783;0.915268;0.325388;-0.184560;0.045200;26.125000
-17.053337;-0.048172;0.092968;0.092280;0.045600;26.125000
62.528904;0.000000;0.232420;-0.138420;0.046000;26.125000
-17.053337;1.252472;0.371872;0.000000;0.046400;26.125000
-90.951134;-0.770752;0.418356;0.645960;0.046800;26.125000
68.213348;-0.289032;0.232420;-0.645960;0.047200;26.125000
34.106674;0.240860;0.371872;0.322980;0.047600;26.125000
-79.582245;-0.674408;1.441004;-0.645960;0.048000;26.125000
11.368892;1.878708;0.929680;-0.784380;0.048400;26.125000
90.951134;-0.337204;-0.650776;-0.322980;0.048800;26.125000
39.791122;-1.300644;-0.325388;-0.507540;0.049200;26.125000
17.053337;0.144516;-0.092968;0.415260;0.049600;26.125000
68.213348;0.433548;0.325388;-0.415260;0.050000;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.050400;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.050800;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.051200;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.051600;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.052000;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.052400;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.052800;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.053200;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.053600;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.054000;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.054400;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.054800;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.055200;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.055600;26.125000
22.737783;-0.289032;0.139452;-0.092280;0.056000;26.125000
-39.791122;-0.096344;-0.976164;-0.138420;0.056400;26.125000
45.475567;0.048172;1.162100;0.645960;0.056800;26.125000
108.004471;-0.192688;-0.697260;-0.230700;0.057200;26.125000
-17.053337;0.385376;-0.604292;-0.046140;0.057600;26.125000
102.320023;0.481720;-0.325388;1.291920;0.058000;26.125000
-96.635582;-0.626236;-0.139452;-0.553680;0.058400;26.125000
34.106674;-0.289032;-0.697260;0.553680;0.058800;26.125000
-28.422230;-0.192688;-0.743744;1.107360;0.059200;26.125000
-130.742249;0.867096;0.278904;1.061220;0.059600;26.125000
17.053337;-0.096344;-0.557808;0.507540;0.060000;26.125000
