#SPIKE measurement file - Tool Measurement /  Analyser 2016 (SPIKE@pro-micron GmbH)
#date: 14.06.2024 operator: 
#process: 
#tool: 
#material: 
#tool gage: 30.6
#d = 8          z = 
#ap =           ae = 
#vc =           n = 
#f =           vf = 
#X = 
#cooling: 
#unit type: 
#note: 8mm wornout with minimum rpm
#BTKaBlue Version: 
#READ Version: READ 1.2 SW-Version: 0x0002
SPIKE Version: SPIKE 1.2
#SW-Version: 0x0006
#SN-Nr.: 0xA408
#cal tension: 2,842223
#cal torsion: 0,024086
#cal bending moment X: 0,023242
#cal bending moment Y: 0,023070
#lever arm: 48.2
#SPIKE position: 
#autoBM: 
#triggerchannel:  triggervalue: 
###
Tension;Torsion;Bending moment X;Bending moment Y;Time;Temperature
[N];[Nm];[Nm];[Nm];[s];[°C]
-34.106674;0.096344;0.139452;0.415260;0.030000;26.500000
-34.106674;0.096344;0.139452;0.415260;0.030400;26.500000
-34.106674;0.096344;0.139452;0.415260;0.030800;26.500000
-34.106674;0.096344;0.139452;0.415260;0.031200;26.500000
-34.106674;0.096344;0.139452;0.415260;0.031600;26.500000
-34.106674;0.096344;0.139452;0.415260;0.032000;26.500000
-34.106674;0.096344;0.139452;0.415260;0.032400;26.500000
-34.106674;0.096344;0.139452;0.415260;0.032800;26.500000
-34.106674;0.096344;0.139452;0.415260;0.033200;26.500000
-34.106674;0.096344;0.139452;0.415260;0.033600;26.500000
-34.106674;0.096344;0.139452;0.415260;0.034000;26.500000
-34.106674;0.096344;0.139452;0.415260;0.034400;26.500000
-34.106674;0.096344;0.139452;0.415260;0.034800;26.500000
-34.106674;0.096344;0.139452;0.415260;0.035200;26.500000
-34.106674;0.096344;0.139452;0.415260;0.035600;26.500000
-34.106674;0.096344;0.139452;0.415260;0.036000;26.500000
-34.106674;0.096344;0.139452;0.415260;0.036400;26.500000
-34.106674;0.096344;0.139452;0.415260;0.036800;26.500000
-34.106674;0.096344;0.139452;0.415260;0.037200;26.500000
-34.106674;0.096344;0.139452;0.415260;0.037600;26.500000
-34.106674;0.096344;0.139452;0.415260;0.038000;26.500000
-34.106674;0.096344;0.139452;0.415260;0.038400;26.500000
-34.106674;0.096344;0.139452;0.415260;0.038800;26.500000
-34.106674;0.096344;0.139452;0.415260;0.039200;26.500000
-34.106674;0.096344;0.139452;0.415260;0.039600;26.500000
-34.106674;0.096344;0.139452;0.415260;0.040000;26.500000
-34.106674;0.096344;0.139452;0.415260;0.040400;26.500000
-34.106674;0.096344;0.139452;0.415260;0.040800;26.500000
-34.106674;0.096344;0.139452;0.415260;0.041200;26.500000
-34.106674;0.096344;0.139452;0.415260;0.041600;26.500000
-34.106674;0.096344;0.139452;0.415260;0.042000;26.500000
-34.106674;0.096344;0.139452;0.415260;0.042400;26.500000
-34.106674;0.096344;0.139452;0.415260;0.042800;26.500000
-34.106674;0.096344;0.139452;0.415260;0.043200;26.500000
-34.106674;0.096344;0.139452;0.415260;0.043600;26.500000
-34.106674;0.096344;0.139452;0.415260;0.044000;26.500000
-34.106674;0.096344;0.139452;0.415260;0.044400;26.500000
-34.106674;0.096344;0.139452;0.415260;0.044800;26.500000
-34.106674;0.096344;0.139452;0.415260;0.045200;26.500000
-34.106674;0.096344;0.139452;0.415260;0.045600;26.500000
-34.106674;0.096344;0.139452;0.415260;0.046000;26.500000
-34.106674;0.096344;0.139452;0.415260;0.046400;26.500000
-34.106674;0.096344;0.139452;0.415260;0.046800;26.500000
-34.106674;0.096344;0.139452;0.415260;0.047200;26.500000
-34.106674;0.096344;0.139452;0.415260;0.047600;26.500000
-22.737783;0.000000;-0.185936;-0.507540;0.048000;26.500000
-28.422230;-0.048172;-0.929680;-1.291920;0.048400;26.500000
-102.320023;0.626236;-0.836712;0.830520;0.048800;26.500000
-45.475567;-0.674408;-0.278904;-0.922800;0.049200;26.500000
28.422230;0.963440;-0.650776;0.046140;0.049600;26.500000
-159.164490;-0.240860;0.046484;0.138420;0.050000;26.500000
22.737783;0.096344;1.394520;-0.738240;0.050400;26.500000
22.737783;0.096344;1.394520;-0.738240;0.050800;26.500000
22.737783;0.096344;1.394520;-0.738240;0.051200;26.500000
22.737783;0.096344;1.394520;-0.738240;0.051600;26.500000
22.737783;0.096344;1.394520;-0.738240;0.052000;26.500000
22.737783;0.096344;1.394520;-0.738240;0.052400;26.500000
22.737783;0.096344;1.394520;-0.738240;0.052800;26.500000
22.737783;0.096344;1.394520;-0.738240;0.053200;26.500000
11.368892;0.240860;-0.511324;-0.738240;0.053600;26.500000
56.844460;0.240860;0.000000;-0.092280;0.054000;26.500000
-17.053337;-0.192688;-0.697260;0.092280;0.054400;26.500000
-22.737783;-0.770752;0.371872;-0.507540;0.054800;26.500000
11.368892;-0.337204;-0.650776;0.738240;0.055200;26.500000
-108.004471;-0.481720;0.836712;-0.230700;0.055600;26.500000
-51.160011;0.770752;0.976164;1.430340;0.056000;26.500000
-51.160011;0.770752;0.976164;1.430340;0.056400;26.500000
-51.160011;0.770752;0.976164;1.430340;0.056800;26.500000
-51.160011;0.770752;0.976164;1.430340;0.057200;26.500000
-51.160011;0.770752;0.976164;1.430340;0.057600;26.500000
-51.160011;0.770752;0.976164;1.430340;0.058000;26.500000
-51.160011;0.770752;0.976164;1.430340;0.058400;26.500000
-51.160011;0.770752;0.976164;1.430340;0.058800;26.500000
-51.160011;0.770752;0.976164;1.430340;0.059200;26.500000
-51.160011;0.770752;0.976164;1.430340;0.059600;26.500000
-51.160011;0.770752;0.976164;1.430340;0.060000;26.500000
-51.160011;0.770752;0.976164;1.430340;0.060400;26.500000
-51.160011;0.770752;0.976164;1.430340;0.060800;26.500000
-51.160011;0.770752;0.976164;1.430340;0.061200;26.500000
-51.160011;0.770752;0.976164;1.430340;0.061600;26.500000
-51.160011;0.770752;0.976164;1.430340;0.062000;26.500000
-51.160011;0.770752;0.976164;1.430340;0.062400;26.500000
-51.160011;0.770752;0.976164;1.430340;0.062800;26.500000
-51.160011;0.770752;0.976164;1.430340;0.063200;26.500000
-51.160011;0.770752;0.976164;1.430340;0.063600;26.500000
-51.160011;0.770752;0.976164;1.430340;0.064000;26.500000
-51.160011;0.770752;0.976164;1.430340;0.064400;26.500000
-51.160011;0.770752;0.976164;1.430340;0.064800;26.500000
-51.160011;0.770752;0.976164;1.430340;0.065200;26.500000
-51.160011;0.770752;0.976164;1.430340;0.065600;26.500000
-51.160011;0.770752;0.976164;1.430340;0.066000;26.500000
-51.160011;0.770752;0.976164;1.430340;0.066400;26.500000
-51.160011;0.770752;0.976164;1.430340;0.066800;26.500000
-51.160011;0.770752;0.976164;1.430340;0.067200;26.500000
-51.160011;0.770752;0.976164;1.430340;0.067600;26.500000
-51.160011;0.770752;0.976164;1.430340;0.068000;26.500000
-51.160011;0.770752;0.976164;1.430340;0.068400;26.500000
-51.160011;0.770752;0.976164;1.430340;0.068800;26.500000
-51.160011;0.770752;0.976164;1.430340;0.069200;26.500000
-51.160011;0.770752;0.976164;1.430340;0.069600;26.500000
-51.160011;0.770752;0.976164;1.430340;0.070000;26.500000
-51.160011;0.770752;0.976164;1.430340;0.070400;26.500000
-51.160011;0.770752;0.976164;1.430340;0.070800;26.500000
-51.160011;0.770752;0.976164;1.430340;0.071200;26.500000
-51.160011;0.770752;0.976164;1.430340;0.071600;26.500000
-51.160011;0.770752;0.976164;1.430340;0.072000;26.500000
-51.160011;0.770752;0.976164;1.430340;0.072400;26.500000
-51.160011;0.770752;0.976164;1.430340;0.072800;26.500000
-5.684446;-0.096344;-0.511324;-0.230700;0.073200;26.500000
85.266685;0.289032;-0.511324;0.922800;0.073600;26.500000
17.053337;0.867096;0.000000;0.000000;0.074000;26.500000
-85.266685;0.096344;-0.092968;-1.107360;0.074400;26.500000
-68.213348;0.722580;-0.836712;-0.184560;0.074800;26.500000
11.368892;0.578064;0.046484;0.092280;0.075200;26.500000
62.528904;1.156128;-0.418356;0.092280;0.075600;26.500000
-56.844460;0.433548;-0.418356;0.000000;0.076000;26.500000
-62.528904;-0.192688;0.046484;0.553680;0.076400;26.500000
-73.897797;0.144516;0.185936;-0.553680;0.076800;26.500000
28.422230;-1.830536;-0.325388;-0.922800;0.077200;26.500000
-113.688919;0.240860;-0.046484;-0.092280;0.077600;26.500000
-17.053337;-0.770752;-0.929680;-0.138420;0.078000;26.500000
0.000000;-0.337204;0.976164;0.645960;0.078400;26.500000
0.000000;-0.337204;0.976164;0.645960;0.078800;26.500000
0.000000;-0.337204;0.976164;0.645960;0.079200;26.500000
0.000000;-0.337204;0.976164;0.645960;0.079600;26.500000
0.000000;-0.337204;0.976164;0.645960;0.080000;26.500000
0.000000;-0.337204;0.976164;0.645960;0.080400;26.500000
0.000000;-0.337204;0.976164;0.645960;0.080800;26.500000
0.000000;-0.337204;0.976164;0.645960;0.081200;26.500000
-11.368892;-0.289032;-1.022648;0.322980;0.081600;26.500000
-39.791122;0.289032;-0.325388;-0.922800;0.082000;26.500000
-34.106674;-0.770752;0.743744;-0.046140;0.082400;26.500000
62.528904;0.048172;0.790228;-0.876660;0.082800;26.500000
28.422230;0.481720;0.092968;-0.599820;0.083200;26.500000
-108.004471;-0.192688;0.092968;-0.046140;0.083600;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.084000;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.084400;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.084800;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.085200;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.085600;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.086000;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.086400;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.086800;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.087200;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.087600;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.088000;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.088400;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.088800;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.089200;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.089600;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.090000;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.090400;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.090800;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.091200;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.091600;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.092000;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.092400;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.092800;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.093200;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.093600;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.094000;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.094400;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.094800;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.095200;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.095600;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.096000;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.096400;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.096800;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.097200;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.097600;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.098000;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.098400;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.098800;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.099200;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.099600;26.500000
-28.422230;0.674408;-0.046484;1.015080;0.100000;26.500000
